id;case_1_1;case_1_2;case_1_3;case_2_1;case_2_2;case_2_3;case_3_1;case_3_2;case_3_3;case_4_1;case_4_2;case_4_3;case_5_1;case_5_2;case_5_3;case_6_1;case_6_2;case_6_3;case_7_1;case_7_2;case_7_3;case_8_1;case_8_2;case_8_3;case_9_1;case_9_2;case_9_3;emo;rat;group;sex;age;income;isworking;edu;car;city;city_size;time_12;time_34;time_56;time_78;time_9;month;year
43;5;5;5;5;4;4;4;4;4;5;4;4;1;1;2;4;4;2;3;3;3;2;2;2;6;5;5;1;NA;3;0;25;2;1;NA;NA;Челябинск;1195446;9601;22862;101513;12226;11909;9;2019
44;6;6;4;2;2;2;5;6;4;2;1;3;6;6;4;1;2;3;2;2;2;6;6;6;6;6;5;0;0;1;0;21;1;0;NA;NA;Челябинск;1195446;65857;111540;223349;50251;35054;9;2019
45;1;1;1;5;5;4;5;2;1;2;6;6;5;2;2;2;4;5;6;5;2;6;3;5;5;5;4;NA;1;2;0;31;3;1;NA;NA;Челябинск;1195446;61437;145621;105850;92532;68582;9;2019
46;2;2;2;2;2;5;5;2;2;2;5;5;4;4;2;2;3;5;5;5;2;5;5;2;5;5;3;0;0;1;1;36;3;1;NA;NA;Челябинск;1195446;76638;66387;119671;84250;167383;9;2019
47;4;4;4;6;6;5;5;5;5;5;5;5;5;4;5;5;5;5;4;4;5;4;5;5;5;4;4;0;0;1;1;20;1;1;NA;NA;NA;NA;59263;22545;11541;7357;59804;9;2019
48;6;2;1;1;1;5;6;2;1;1;2;6;6;2;2;1;2;6;2;3;5;6;2;2;6;5;2;0;0;1;0;20;1;0;NA;NA;Озерск;78811;94551;57667;62981;55339;22928;9;2019
49;5;2;2;2;2;2;6;5;4;1;5;5;5;2;2;1;1;2;5;2;2;6;5;4;6;5;5;1;NA;3;0;20;1;NA;NA;NA;Челябинск;1195446;61126;60125;55261;46988;80915;9;2019
50;6;6;4;6;6;4;6;6;4;4;4;4;6;6;4;1;1;3;6;6;4;1;1;3;6;6;4;0;0;1;0;21;2;0;NA;NA;Челябинск;1195446;87424;52476;33761;47777;15368;9;2019
51;5;3;1;1;2;1;3;2;6;4;3;6;5;2;5;4;2;5;4;5;1;4;2;2;6;5;2;1;NA;3;0;20;1;0;NA;NA;Челябинск;1195446;72849;133009;27873;116177;31742;9;2019
52;3;3;3;3;3;3;1;2;4;4;2;1;1;3;5;5;4;2;2;3;5;5;3;2;4;4;2;1;NA;3;0;20;2;1;NA;NA;Челябинск;1195446;6207;7111;7991;10625;15428;9;2019
